company_id,category,amount_in_millions,pct_of_total,details_note
paytm,Growing & Strengthening Paytm Ecosystem (Customer & Merchant Acquisition),43000.0,51.81,Technology & user acquisition for payment & financial services ecosystem
paytm,"Investing in New Business Initiatives, Acquisitions & Strategic Partnerships",20000.0,24.1,Inorganic expansion & strategic partnerships
paytm,General Corporate Purposes,20000.0,24.09,Capped at max 25% of Net Proceeds under SEBI ICDR Regulations
zomato,Funding Organic & Inorganic Growth Initiatives,56250.0,75.0,At least 40% organic customer/delivery expansion + up to 35% inorganic acquisitions
zomato,General Corporate Purposes,18750.0,25.0,Capped at max 25% of Net Proceeds under SEBI ICDR Regulations
lohiacorp,100% Offer for Sale (OFS) — No Fresh Issue Proceeds,0.0,0.0,"Company receives ₹0 proceeds. All proceeds from 25,931,407 shares go to Promoter Selling Shareholders"
