company_id,risk_number,materiality_score,emphasis_score,ddi_score
paytm,49,45.0,52.04,-7.04
paytm,50,15.0,50.55,-35.55
paytm,51,0.0,69.94,-69.94
paytm,52,0.0,40.32,-40.32
paytm,53,0.0,36.43,-36.43
paytm,54,0.0,34.35,-34.35
paytm,55,0.0,38.93,-38.93
paytm,56,0.0,16.05,-16.05
paytm,57,0.0,15.43,-15.43
paytm,58,60.0,14.81,45.19
paytm,59,0.0,14.2,-14.2
paytm,60,0.0,23.65,-23.65
paytm,61,0.0,12.96,-12.96
paytm,62,0.0,12.35,-12.35
paytm,63,0.0,23.33,-23.33
paytm,64,0.0,47.58,-47.58
paytm,65,0.0,40.49,-40.49
paytm,66,15.0,12.94,2.06
paytm,67,15.0,48.33,-33.33
paytm,68,30.0,52.11,-22.11
paytm,69,45.0,40.89,4.11
paytm,70,45.0,11.94,33.06
paytm,71,75.0,6.79,68.21
paytm,72,0.0,12.57,-12.57
paytm,73,15.0,18.96,-3.96
paytm,74,30.0,11.14,18.86
paytm,75,15.0,4.32,10.68
paytm,76,15.0,9.04,5.96
paytm,77,15.0,12.02,2.98
paytm,78,0.0,13.2,-13.2
paytm,79,30.0,11.12,18.88
paytm,80,15.0,17.43,-2.43
paytm,81,0.0,30.62,-30.62
zomato,1,100.0,80.0,20.0
zomato,2,95.0,86.75,8.25
zomato,3,100.0,48.44,51.56
zomato,4,100.0,77.66,22.34
zomato,5,75.0,46.88,28.12
zomato,6,100.0,46.09,53.91
zomato,7,100.0,75.31,24.69
zomato,8,60.0,74.53,-14.53
zomato,9,30.0,49.95,-19.95
zomato,10,60.0,42.97,17.03
zomato,11,45.0,42.19,2.81
zomato,12,15.0,71.41,-56.41
zomato,13,95.0,71.42,23.58
zomato,14,60.0,39.84,20.16
zomato,15,30.0,69.06,-39.06
zomato,16,90.0,72.61,17.39
zomato,17,100.0,67.5,32.5
zomato,18,100.0,36.72,63.28
zomato,19,30.0,78.94,-48.94
zomato,20,0.0,35.56,-35.56
zomato,21,0.0,34.38,-34.38
zomato,22,0.0,71.79,-71.79
zomato,23,0.0,69.95,-69.95
zomato,24,15.0,62.03,-47.03
zomato,25,90.0,31.25,58.75
zomato,26,90.0,37.8,52.2
zomato,27,10.0,65.55,-55.55
zomato,28,15.0,28.91,-13.91
zomato,29,15.0,36.46,-21.46
zomato,30,30.0,35.41,-5.41
zomato,31,45.0,57.83,-12.83
zomato,32,15.0,55.78,-40.78
zomato,33,30.0,55.0,-25.0
zomato,34,45.0,54.22,-9.22
zomato,35,15.0,68.7,-53.7
zomato,36,0.0,64.66,-64.66
zomato,37,30.0,51.88,-21.88
zomato,38,0.0,28.89,-28.89
zomato,39,15.0,23.25,-8.25
zomato,40,100.0,19.53,80.47
zomato,41,0.0,28.82,-28.82
zomato,42,0.0,17.97,-17.97
zomato,43,0.0,17.19,-17.19
zomato,44,15.0,64.21,-49.21
zomato,45,0.0,26.56,-26.56
zomato,46,0.0,44.84,-44.84
zomato,47,0.0,44.06,-44.06
zomato,48,0.0,49.75,-49.75
zomato,49,15.0,51.57,-36.57
zomato,50,0.0,47.39,-47.39
zomato,51,0.0,23.34,-23.34
zomato,52,15.0,53.56,-38.56
zomato,53,45.0,42.24,2.76
zomato,54,45.0,13.59,31.41
zomato,55,75.0,7.81,67.19
zomato,56,0.0,13.43,-13.43
zomato,57,15.0,19.65,-4.65
zomato,58,30.0,11.67,18.33
zomato,59,15.0,4.69,10.31
zomato,60,15.0,9.31,5.69
zomato,61,0.0,12.39,-12.39
zomato,62,0.0,13.08,-13.08
zomato,63,30.0,10.9,19.1
zomato,64,15.0,17.05,-2.05
